GZH7067,NY,PAS,7
GZH7067,NY,PAS,7
FZX9232,NY,PAS,5
66623ME,NY,COM,47
37033JV,NY,COM,69
FZD8593,NY,PAS,7
X20DCM,NJ,PAS,40
326SF9,MA,PAS,36
HCA5464,NY,OMS,36
VAD7274,VA,PAS,5
2513JMG,NY,COM,78
13657MD,NY,COM,19
N102911C,NY,OMT,36
FGR5997,NY,PAS,21
T672371C,NY,PAS,40
GYF2052,NY,PAS,71
AD80228,AZ,PAS,7
51771JW,NY,COM,64
GLP367,NY,PAS,20
HJBP29,FL,PAS,36
87155MA,NY,COM,38
HJN6543,NY,PAS,71
77026MG,NY,COM,14
HFB9919,NY,PAS,75
76822MH,NY,COM,10
65572JU,NY,COM,69
GUP8589,NY,PAS,21
GTV5924,NY,PAS,38
GSC6098,NY,PAS,50
Y56DLT,NJ,PAS,21
50741JZ,NY,COM,38
95139JC,NY,COM,48
V97GVE,NJ,PAS,21
VVP9002,VA,PAS,21
HFF1432,NY,PAS,71
CBE9063,NY,PAS,36
EW866X,NJ,PAS,68
25868MB,NY,COM,51
353XXL,FL,PAS,36
CES6482,NY,PAS,9
AT459E,NJ,PAS,69
GSY2361,NY,PAS,36
EFJ1721,NY,PAS,37
F96FBF,NJ,PAS,14
SH3ZBAD,AL,PAS,38
GEL1890,NY,PAS,16
BHV3783,NY,PAS,36
76130JH,NY,COM,21
HEA6308,NY,PAS,71
HFB1731,NY,PAS,20
AHG9422,NY,PAS,27
EWL8888,NY,PAS,20
HAZ7926,NY,PAS,38
GSH2040,NY,PAS,46
GXC5916,NY,PAS,71
HAL6563,NY,PAS,38
DKT8358,NY,PAS,21
GYG8911,NY,PAS,24
26013KA,NY,COM,38
MLU536,SC,PAS,38
D53AUUN,NJ,PAS,9
GWG6715,NY,PAS,37
83546JU,NY,COM,38
HLC5085,NY,PAS,31
96170MA,NY,COM,50
55219MA,NY,COM,47
GYG7508,NY,PAS,21
FBB5153,NY,PAS,38
FGN4109,NY,PAS,20
GPP7413,NY,PAS,19
HMJ8126,NY,PAS,40
HKP7234,NY,PAS,40
HDB8092,NY,PAS,21
GYJ7561,NY,PAS,21
XW317E,NJ,PAS,36
57309ME,NY,COM,69
HDK4072,NY,PAS,21
EXM3315,NY,PAS,36
X89HVW,NJ,PAS,21
T715907C,NY,OMT,5
HHC5057,NY,PAS,38
0480PRA,MN,PAS,19
GTS6000,NY,PAS,38
8P82H,NY,OMT,14
FAD5808,NY,PAS,20
2AE3984,MD,PAS,5
86609MB,NY,COM,13
GPK7120,NY,PAS,37
CMD1897,NY,PAS,21
FXX8143,NY,PAS,36
DPH8955,NY,PAS,7
AB157N,NJ,PAS,46
GML6346,NY,PAS,21
FPN6798,NY,PAS,21
GSM5317,NY,PAS,37
ZPBEAR,NY,SRF,37
GDV1998,NY,PAS,71
49033ME,NY,COM,16
DYB1485,NY,PAS,20
19662JA,NY,COM,37
GUG8491,NY,PAS,36
FFL7741,NY,PAS,38
B77FRW,NJ,PAS,36
GJA1784,NY,PAS,20
36012JH,NY,COM,40
G30ESY,NJ,PAS,7
ZCL5723,PA,PAS,14
55507JZ,NY,COM,47
HKT1200,NY,PAS,71
41795JX,NY,COM,14
HAL3075,NY,PAS,21
AVS4503,NY,PAS,20
GVB9839,NY,PAS,21
HDF6978,NY,PAS,46
GTP5204,NY,PAS,31
HPW9117,NY,PAS,46
67754MC,NY,COM,40
49783MA,NY,COM,46
GKB2710,NY,PAS,37
T656205C,NY,OMT,51
67815MC,NY,COM,47
HJV3061,NY,PAS,71
70728MD,NY,COM,47
GCR2084,NY,PAS,48
76691MH,NY,COM,47
12203MG,NY,COM,46
GLS7002,NY,PAS,40
GTP8988,NY,PAS,16
917029N,NJ,PAS,38
DRU6182,NY,PAS,21
80381MD,NY,COM,21
HCR7297,NY,PAS,36
HAU1278,NY,PAS,14
FZH6298,NY,PAS,36
601473,NY,PAS,21
GTE6420,NY,PAS,70
GMK6658,NY,PAS,36
HEJ2020,NY,PAS,46
MIQ600,SC,PAS,5
GJD5585,NY,PAS,16
EVV1706,NY,PAS,36
57300MC,NY,COM,42
F47DZF,NJ,PAS,7
FHY6755,NY,PAS,21
409507,IN,PAS,47
VPX8534,VA,PAS,36
987536N,NJ,PAS,31
GGL9484,NY,PAS,46
W688AV,NY,PAS,36
GVL6825,NY,PAS,38
FMF1924,NY,PAS,40
85121ME,NY,COM,21
GYP6735,NY,OMS,70
HFX5240,NY,OMS,38
50651JT,NY,COM,38
HEG7444,NY,PAS,36
42530MG,NY,COM,71
AT785J,NJ,PAS,85
34719MG,NY,COM,50
25472MG,NY,COM,14
GBG4410,NY,PAS,38
29518MD,NY,COM,38
HJV8807,NY,PAS,46
FJS4033,NY,PAS,7
6XWZ969,CA,PAS,14
Y81GLL,NJ,PAS,37
HJN6853,NY,PAS,36
KCG9559,PA,PAS,14
FYW3850,NY,PAS,74
ZBK5659,PA,PAS,78
CZB9676,NY,PAS,14
24745ME,NY,COM,16
HCT2134,NY,PAS,14
41126BB,NY,OMT,19
N61GZN,NJ,PAS,16
DMM8334,NY,PAS,36
34632BB,NY,OMR,71
28693MH,NY,COM,14
